day_1,day_2,day_3,day_4,day_5
236.39467684075058,236.24365547641682,234.8255930256326,234.3363526575086,235.40536050706638
240.64271357814118,240.63027550783718,239.0295635596908,238.71780516406324,239.57669461056147
237.35626139116582,236.64257759286323,234.67552954395688,234.96024756033935,235.56316987444674
237.96503543203755,237.63842625414773,235.9337372237902,235.96319751711877,236.6614435599514
237.49858618926214,237.19759136981827,235.5709589729029,235.62651256600645,236.33427621735484
238.24490641812787,238.08477076429224,236.56458217748565,236.43419130092593,237.23408813951454
235.23277958080152,234.7907599468687,233.4252153933958,233.33249163188523,234.08558906060972
235.821787388929,235.7234459697247,234.7183605828091,234.34232682040215,235.03261811589792
238.43534141288347,238.47100993817622,237.388696162222,237.02041548764493,237.63967222181572
234.04763746161325,233.5006576553728,232.3131460369778,232.30931810740827,232.83578626094126
237.07874910109436,237.05960945324674,236.12996632830817,235.70626529994465,236.3690408759289
233.96239310717317,233.46262683299864,232.3841661940523,232.3183819820334,232.88873628576752
235.29110599212572,235.13223791233384,234.2303949908541,233.89606153363536,234.5725211475916
236.09732989774503,235.86345888561627,234.96781699397542,234.69400659628164,235.22632647657895
236.88895869654846,236.6412235933165,235.66692369077523,235.48051108297085,235.8731169355744
235.98213550545944,235.5653341130839,234.56823588306878,234.4072575805791,234.72528542623547
237.8814655717177,237.78270282818636,236.85258436298142,236.5367063517117,236.88378036849485
234.70895100617207,234.35190564698252,233.4178044065152,233.24813673991332,233.6265544057775
237.6385414881517,237.6606232041633,236.83069350328887,236.38910959793355,236.91265728967832
236.19123840885896,235.90504755786318,234.90968143897032,234.64599362831316,235.09795579615144
237.20647159024952,237.14420201535185,236.218001506282,235.81762456053545,236.31314518187605
236.2223587920573,235.97227219493178,235.0265467243135,234.77150146395445,235.18188216167107
240.03627302584994,240.19329015945297,239.04035234331292,238.77667893690628,239.19054906430574
240.44822018580805,240.33029618805335,238.81821719427646,238.96222368861825,239.30226843115898
242.12858403813914,242.0752054868606,240.30508874968393,240.64628583226437,240.97364403118002
243.95605129866883,244.0521852664845,241.9523156237471,242.42745783169735,242.87087107686574
243.62185828289245,243.6754348926153,241.39585782067977,242.06603718141938,242.60233983697907
244.72278235048853,244.96322530190645,242.69070631271433,243.39322321581926,243.94891399254766
245.24986988679288,245.5273821768643,243.16405879254035,243.87604288928432,244.4513594573146
246.7156176088468,247.18308595234487,244.74080206786002,245.51101894829995,246.07571598265145
245.68307772048428,245.9511048116036,243.39773894835002,244.3587185202444,244.87504968249024
244.60432179440278,244.85372418962973,242.60901980814697,243.4193417230326,244.00479528235002
247.37281153776354,248.05681177685483,245.88840310919102,246.43739230837573,247.07866233836828
248.5638125858414,249.14137981801179,246.68618972508182,247.59697048399482,248.02541771289702
246.762013699697,246.9252282620763,244.48374021243143,245.5591291449593,245.89483460703784
251.02197715649896,251.87307390347843,249.4192738207214,250.28159868096316,250.69028327818376
249.61128247984382,250.0090126445616,247.14399281649654,248.49698406566145,248.86558163374946
250.4696101605727,251.03571160934763,248.39613270580807,249.6260252302273,250.03041736079985
252.79059585162395,253.59240125340335,250.87280673835403,252.09340852120283,252.4324269608956
254.77739572902402,255.72526023084106,252.6657830210691,254.18649016089358,254.36748677051122
253.46588151916467,254.0260556188602,250.86508606008772,252.66580462744486,252.7453881114397
